Pic_id,Text,MetaphorOccurrence,TargetCategory,SourceCategory,MetaphorSenseCategory,SentimentCategory
,,"1 metaphor, 2  literal","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 physical property, 2 magnitude, 3 sense, 4 age, 5 shape, 6 state, 7 quality, 8 symbol","-1 negative, 0 neutral, 1 positive"
1.jpg,广告也幽默中外幽默广告鉴赏,1,11,12,8,1
2.jpg,拒绝酒驾珍惜生命，注意交通安全,0,,,,0
3.jpg,保护野生动物，关爱野生动物，保护美好家园，保护动物人人有责，不要让我们的孩子只能在博物馆才能见到今天的动物,0,,,,1
4.jpg,践行低碳生活共享绿色家园,1,12,11,5,1
5.jpg,酒驾，劝君莫进一杯酒，西出阳关无故人,1,12,3,5,0
6.jpg,节约用纸，拯救自然,1,12,7,5,0
7.jpg,纯洁心灵，逐梦演艺圈,1,10,4,7,-1
8.jpg,打包成金，开源节流，钱不定是赚出来的,1,10,12,8,1
9.jpg,阅读给予我们创新的源泉,1,10,10,5,1
10.jpg,爱生活爱低碳，低碳出行从我开始,1,12,11,5,1
11.jpg,乐于助人手有余香，让道德文明芬芳你我,1,5,8,5,1
12.jpg,节能减排,1,12,11,3,1
13.jpg,珍惜生命拒绝烟草禁止吸烟，吸烟有害健康,1,11,6,5,0
14.jpg,保护环境，让鲸鱼不再哀嚎，保护我们生存的家园，防止海洋荒漠化,1,7,10,8,-1
15.jpg,节约用电,1,12,11,5,1
16.jpg,保护动物,0,,,,-1
17.jpg,低碳在身边,0,,,,1
18.jpg,吸烟有害健康，请勿吸烟,1,8,5,5,-1
19.jpg,世界自然保护种红色名录交现人与白低种活共处,1,7,13,5,0
20.jpg,和，文明上网，共建和谐，创建文明网络，共建和谐社会,1,12,12,5,1
21.jpg,节能减排，保护环境低碳生活，低碳生活从我做起，一点一滴共同努力，低碳生活，节能减排，绿色出行健康一生,0,,,,1
22.jpg,警纪拒绝酒驾,1,12,10,3,-1
23.jpg,禁止吸烟,1,10,12,5,-1
24.jpg,万物有灵，爱护野生动物金丝猴，保护动物，责无旁贷,0,,,,0
25.jpg,这是一场谋杀案,0,,,,-1
26.jpg,节能减排从我做起,0,,,,1
27.jpg,文明奏响爱的乐章永象文化,1,5,12,5,1
28.jpg,水是生命之源水是生命之源,0,,,,1
29.jpg,拒绝酒驾珍爱生命请勿酒驾拒绝酒鲜珍爱生命请勿酒驾,0,,,,-1
30.jpg,世界水日节约用水我在行动节约用水不要让最后一满水成为我们的眼泪要节约用水保护水资源世界水日,0,,,,1
31.jpg,低碳生活绿色出行,1,12,11,5,1
32.jpg,原则坚持自我才能找到自己的人生目标找到了就不能动摇,1,11,11,2,1
33.jpg,春放二吸收碳中和中国格力争在年前实现二氧化醋排放达到峰位年前实现联中和,1,12,13,5,1
34.jpg,让爱回家,1,11,3,5,1
35.jpg,富强民主文明和谐自由平等,0,,,,-1
36.jpg,驾驶员你妈妈叫你喝酒不要开车,0,,,,1
37.jpg,燃烧的是香烟消耗的是生命为了你和家人的健康请勿吸烟,1,1,8,5,-1
38.jpg,节约谁知盘中餐反对浪费,1,12,8,7,1
39.jpg,长沙交警在人民中路杨家山西路段开展涉酒驾驶执法行动守法不酒驾安全千万家掌上长沙,0,,,,1
40.jpg,拒绝酒酒后驾车害人害己,1,12,12,5,-1
41.jpg,富强民主文明和谐民主爱国教业诚信友警,0,,,,0
42.jpg,兰器满元包邮满元送两张买就送双面胶,0,,,,-1
43.jpg,树木拥有绿色地球才有脉搏,1,11,1,7,1
44.jpg,保护自己,0,,,,1
45.jpg,拒绝酒驾,1,12,12,5,1
46.jpg,三块广告牌,0,,,,1
47.jpg,关注弱势群体,0,,,,0
48.jpg,低碳生活,0,,,,-1
49.jpg,珍爱生命,0,,,,1
50.jpg,湖南中医药大学附属岳阳医院您可以少抽一根烟,0,,,,-1
51.jpg,总言活文,0,,,,1
52.jpg,共享碧水蓝天发展清洁能源节能减排让我们从细微开始,1,12,11,5,1
53.jpg,众志成城共间抗疫游必文明进行,0,,,,0
54.jpg,坚决杜绝校园暴力,0,,,,1
55.jpg,欲文明健你有我文明有礼,0,,,,0
56.jpg,酒人们带来了无比的欢乐也给人们带来了更多的灾难,1,12,12,5,-1
57.jpg,木无本必枯,1,10,8,5,1
58.jpg,益海报人节约用水节约用水保护环境从我做起节约用水保护环境水是生命之源请珍惜每一滴水节约用水从我做起,0,,,,1
59.jpg,成都成就梦想,0,,,,1
60.jpg,珍惜每一滴水一滴水也是一个大世界,0,,,,1
61.jpg,感恩康复者伸出您的路牌生命因楼市精彩中国力量,0,,,,1
62.jpg,低碳主活人人有真低碳生活,0,,,,0
63.jpg,点滴节约从我做起金子发光,0,,,,-1
64.jpg,酒驾平安平安酒驾,0,,,,1
65.jpg,我们失去的已经太多关爱生命保护动物,0,,,,0
66.jpg,那一滴血它在寻找曾经的家园,1,10,10,8,-1
67.jpg,布非花情迷人品味书香倾听书声传染书鑫领路书韵,1,12,11,7,0
68.jpg,低碳生活你我共享给我片绿爱还你一片荫,0,,,,0
69.jpg,节能减排低碳出行你我共同携手共建文明和谐城市为下一代留下一片美好的蓝天,0,,,,0
70.jpg,讲文明树新风做文明人说文明遗行,1,12,9,5,0
71.jpg,保护动物,0,,,,0
72.jpg,扶贫济困践行友善爱是一起努力爱是永不放手,0,,,,0
73.jpg,鲜嫩之吻鲈鱼当蒸汽吻过的鲜爱情保鲜的才懂秘密是时刻认蒸清蒸鲈鱼老板全球领先民族品牌精湛科技轻松黑旺心老板电器,0,,,,0
74.jpg,向酒驾醉驾说不,0,,,,1
75.jpg,友诚敬爱法公平自和文民富人心和美善信业国洽正等由滑明宝强国子火红中宣部宣教局中国文明陶,0,,,,0
76.jpg,拒绝酒驾进守安通法购关餐生命爱全驾装证,0,,,,0
77.jpg,珍爱生命拒绝酒驾珍爱生命拒绝酒驾,0,,,,0
78.jpg,节约水资源和平生态共建美好家园,0,,,,1
79.jpg,节能减排美好生活,0,,,,0
80.jpg,珍爱生命远离酒驾,0,,,,0
81.jpg,所有的时刻都是我们心中最完美的礼物,1,12,10,5,1
82.jpg,保护动物,0,,,,0
83.jpg,欣赏,0,,,,-1
84.jpg,酒驾,0,,,,1
85.jpg,拒绝校园幂力构建和谐校园拒绝校园暴力坚决抵制,0,,,,0
86.jpg,拒绝酒驾珍爱生命请勿酒驾学豪饮餐,1,12,12,5,0
87.jpg,赋海会所请带约用水川滴清水二片绿地一个地球元潍坊严重缺水,0,,,,1
88.jpg,绿携手共建城市绿色城市携手共追求绿色生活共建美丽家园世界卫生日期间包括中国在内的世界卫生组织各会员国都半行庆机活动推广和普及有关健康知识提高人民健康水平绿色城,0,,,,0
89.jpg,珍爱生命人人有责抱绝酒驾库网,0,,,,1
90.jpg,知乎,1,12,7,1,0
91.jpg,文明亲子活动和孩子一起做低碳生活,0,,,,0
92.jpg,车技千般好杯酒失安全出行不酒驾公安部交通管理局,0,,,,-1
93.jpg,保护大自然从你我做起,0,,,,0
94.jpg,禁止酒驾,0,,,,1
95.jpg,酒驾失去的是完整的家庭,1,12,12,8,1
96.jpg,生命之水珍爱生命节约用水让我们的地球多留有一点关于绿色的记忆,0,,,,1
97.jpg,川剧镂空灯,0,,,,1
98.jpg,节约用电举手之劳,1,10,6,7,1
99.jpg,节约每一张纸为人类造每一份福纸的发明是对人类文明的伟大贡献,0,,,,0
100.jpg,讲文明树新风,0,,,,-1
101.jpg,爱护水资测一起爱护我们的水资源,0,,,,1
102.jpg,为了您和他人健康一请勿高空抛物它的杀伤力远大于想象严禁高空抛物创建和谐社区,1,10,12,5,0
103.jpg,节能减排低碳生活,0,,,,-1
104.jpg,你衣服上的是我儿子,1,12,7,8,1
105.jpg,亚心网讲文明树新风民族团结你我同创美好家园大家共享,0,,,,1
106.jpg,被酒驾这些食物容易被酒驾开车的朋友要注意荔枝蛋黄派酒心巧克力漱口水灌香正气水豆腐乳荔枝溜莲醉虾醉蟹交警提醒如果驾车前吃了蛋黄派荔枝等食物被检测出有酒精可以申请进行血液测试不喝酒酒精足不会进入人体血液中,0,,,,-1
107.jpg,陪你成长伴你老去多抽点时间陪伴他,1,3,12,8,1
108.jpg,绿色生活低碳出行可为您点费,0,,,,1
109.jpg,每次使用一次性木筷就是在吃掉一片森林,1,12,11,3,0
110.jpg,来自剩角饭菜打包有爱所有的食物都是我们心中最完美的食物,1,,7,5,1
111.jpg,吸烟有害健康,1,11,8,5,1
112.jpg,不传疫,0,,,,0
113.jpg,让所有动物都能在星空下行走,1,7,11,5,1
114.jpg,水是人类共有的资源人人应保护水资源节约水资源文件可做户外大型广告点击右边他的作品库可进入查看更多作品伦是,0,,,,1
115.jpg,文明健康有你有我禅超名城文明新兴保护自然善待自然善待自己绿色发展和谐共生文明新兴新兴县文明办宣,0,,,,-1
116.jpg,珍爱生命请勿酒驾拒绝酒驾不要心存饶幸你的不负责任可能就是别人一生的伤痛安全交通从我做起珍爱生命拒绝酒驾请勿酒驾不要心存侥幸你的不负责任可能就是别人一生的伤痛,0,,,,0
117.jpg,请勿吸烟,1,11,10,5,1
119.jpg,城市园丁,0,,,,1
120.jpg,再利用循环经济可持续发展乌鲁木卉市环境保护宣传教育中心宣,0,,,,-1
121.jpg,拒绝酒驾,1,12,1,8,-1
